Iteration,Kp,Kd,Reward
0,4,0.26892859631750454
1,3.8445454545454543,0.35250688868371943
2,3.1381818181818177,0.3608392894492519
3,2.835454545454545,0.3147766295362343
4,2.4318181818181817,0.2573535223798794
5,2.129090909090909,0.22347266233133523
6,1.8263636363636364,0.19102936495231246
7,4.248181818181818,0.3102551379481728
8,4.752727272727272,0.26408500997265855
9,5.156363636363636,0.2452649026087808
10,5.459090909090909,0.2289817376613041
11,5.761818181818182,0.2148129587763943
12,6.0645454545454545,0.20200912644558827
13,6.367272727272727,0.19063085441049193
14,6.67,0.1762301039191117
15,1.5236363636363637,0.1582204953645751
16,1.3218181818181818,0.14226980581302676
17,6.871818181818181,0.16557990453476085
18,7.073636363636363,0.1579365665851967
19,7.275454545454545,0.14852695956167417
20,7.477272727272727,0.13948607334145688
21,7.679090909090909,0.1311293246716515
22,1.220909090909091,0.13477295629136704
23,7.779999999999999,0.12819592979355304
24,1.1199999999999999,0.12886653727337888
25,1.019090909090909,0.1194117521873243
26,0.9181818181818182,0.10978176491457736
27,7.880909090909091,0.12565760988924424
28,7.9818181818181815,0.12085543462311409
29,8.082727272727272,0.11612551574360169
30,0.8172727272727273,0.10048248562590596
31,8.183636363636364,0.11166019028773287
32,0.7163636363636363,0.09265891084057763
33,8.284545454545453,0.10386754816351203
34,8.385454545454545,0.1027027771025253
35,8.486363636363636,0.09834588896112408
36,8.587272727272726,0.09436191588500932
37,3.4409090909090905,0.2012538692504447
38,8.688181818181818,0.0898637076864316
39,0.7163636363636363,0.09170797456265323
40,0.6154545454545455,0.08464979802949023
41,8.688181818181818,0.08812852847349888
42,8.789090909090909,0.08621383878962452
43,4.651818181818181,0.28058149281533074
44,0.6154545454545455,0.0835917802795273
45,8.789090909090909,0.0857520357832669
46,8.889999999999999,0.0825240471383352
47,8.889999999999999,0.08240036672059946
48,8.99090909090909,0.0791708017378332
49,8.99090909090909,0.07952031669918602
50,2.6336363636363633,0.14288252181591074
